City,Model,MAE,RMSE,R2,Bias,Fit (s)
Delhi,Prophet,2.08,2.686,0.8505,0.544,2.2
Delhi,ARIMA,2.152,2.723,0.8463,-0.863,7.2
Delhi,Climatology (baseline),2.169,2.762,0.8419,-0.876,0.0
Delhi,Random Forest,2.242,2.832,0.8338,-0.361,1.0
Delhi,XGBoost,2.219,2.879,0.8282,-0.425,0.9
Delhi,LSTM,3.031,3.649,0.7241,-2.455,32.3
Mumbai,Prophet,1.042,1.268,0.6633,0.153,0.9
Mumbai,Climatology (baseline),1.131,1.5,0.529,-0.759,0.0
Mumbai,ARIMA,1.157,1.505,0.5259,-0.759,9.3
Mumbai,XGBoost,1.346,1.732,0.3721,-0.139,0.8
Mumbai,LSTM,1.285,1.776,0.3397,-0.752,28.8
Mumbai,Random Forest,1.516,1.834,0.296,0.009,0.8
Bengaluru,ARIMA,0.823,1.073,0.8206,-0.247,9.3
Bengaluru,Climatology (baseline),0.823,1.08,0.8182,-0.237,0.0
Bengaluru,Prophet,1.006,1.298,0.7378,-0.629,1.1
Bengaluru,Random Forest,1.03,1.3,0.7367,-0.066,0.8
Bengaluru,XGBoost,1.064,1.364,0.7103,-0.26,0.7
Bengaluru,LSTM,1.097,1.443,0.676,-0.827,29.1
Chennai,Prophet,0.947,1.217,0.7854,0.349,0.8
Chennai,ARIMA,0.942,1.229,0.781,-0.406,6.7
Chennai,Climatology (baseline),0.963,1.264,0.7684,-0.403,0.0
Chennai,XGBoost,0.965,1.281,0.7623,-0.054,0.7
Chennai,Random Forest,0.979,1.295,0.7569,0.229,0.8
Chennai,LSTM,1.569,1.902,0.4755,-1.38,27.3
Kolkata,Climatology (baseline),1.216,1.551,0.8366,-0.348,0.0
Kolkata,Prophet,1.21,1.589,0.8284,0.313,0.9
Kolkata,ARIMA,1.269,1.623,0.821,-0.332,6.9
Kolkata,Random Forest,1.282,1.639,0.8175,0.105,0.8
Kolkata,XGBoost,1.36,1.751,0.7917,0.46,0.7
Kolkata,LSTM,1.351,1.851,0.7672,0.445,27.6
Hyderabad,Prophet,1.029,1.319,0.85,0.052,0.9
Hyderabad,Climatology (baseline),1.152,1.497,0.8069,-0.715,0.0
Hyderabad,ARIMA,1.172,1.517,0.8016,-0.714,8.3
Hyderabad,LSTM,1.556,2.087,0.6245,-0.83,29.5
Hyderabad,XGBoost,1.827,2.304,0.5424,0.254,0.7
Hyderabad,Random Forest,2.195,2.701,0.371,0.099,0.7
