City,Model,Accuracy,Precision,Recall,F1,ROC-AUC,Brier
Delhi,Random Forest,0.863,0.6857,0.809,0.7423,0.9399,0.0946
Delhi,XGBoost,0.8658,0.8125,0.5843,0.6797,0.9298,0.092
Mumbai,Random Forest,0.9041,0.9412,0.8,0.8649,0.9782,0.0599
Mumbai,XGBoost,0.9041,0.9487,0.7929,0.8638,0.9756,0.0772
Bengaluru,Random Forest,0.863,0.8345,0.8112,0.8227,0.9583,0.0815
Bengaluru,XGBoost,0.8685,0.88,0.7692,0.8209,0.96,0.0862
Chennai,Random Forest,0.7973,0.7793,0.729,0.7533,0.8955,0.1308
Chennai,XGBoost,0.789,0.8197,0.6452,0.722,0.8949,0.1417
Kolkata,Random Forest,0.9041,0.9371,0.8563,0.8949,0.9776,0.0649
Kolkata,XGBoost,0.8849,0.9231,0.8276,0.8727,0.9753,0.0683
Hyderabad,Random Forest,0.8986,0.8252,0.8173,0.8213,0.953,0.0756
Hyderabad,XGBoost,0.9068,0.8889,0.7692,0.8247,0.9531,0.0722
